epoch,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,epoch_time_seconds,model,train_balanced_accuracy,val_balanced_accuracy
1,1.000045575104625,0.635672152474307,0.4062631570219184,0.6659708437357588,0.9771487646875584,0.7613744036437987,0.3701645178257755,0.7337599665231951,102.0572066307068,Wide & Deep,,
2,0.9818340155070998,0.6462381362032886,0.424003020605604,0.6761095648382917,0.9806778966689924,0.7718436757152118,0.3716611000373178,0.7389820318317885,100.60351395606996,Wide & Deep,,
3,0.975253988882693,0.6475261999895489,0.4301080916723427,0.6781604425343969,0.9781837522078934,0.7706351713017604,0.3760327143261385,0.7403002012713069,100.25146341323853,Wide & Deep,,
4,0.9700361096889484,0.6484447692443281,0.4344546268614717,0.6796186744186389,0.9784142035817498,0.764822048971857,0.3825016859344801,0.7405705908148611,106.86755561828612,Wide & Deep,,
5,0.9632516311963806,0.649218660429261,0.4395780025203843,0.6810936328291363,0.9785103704474488,0.7594527652642252,0.3861171380562347,0.7395090394151093,105.36744356155396,Wide & Deep,,
6,0.9599524181089176,0.6491155139347209,0.4415984620059103,0.6813944687806176,0.9813310071972868,0.7597353591435743,0.3890784378049185,0.7400055891382259,104.02690172195436,Wide & Deep,,
7,0.9574603803356736,0.648873733871905,0.4429280393507511,0.6814917751178211,0.9856259606969974,0.7546852402879133,0.3903594907100054,0.7374546813251579,99.81455087661745,Wide & Deep,,
8,0.9535097502356602,0.6493161523900739,0.4455101560790304,0.6822097919519092,0.991186430175755,0.7618664494572536,0.389804426861535,0.7399732313041436,98.54485297203064,Wide & Deep,,
9,0.951722501020324,0.6488115340009063,0.4463784665524941,0.6820638960680064,0.9896116289969686,0.7588144355602839,0.3920411803078227,0.7393418083554976,100.62471675872804,Wide & Deep,,
10,0.9502435717456724,0.6490790519413769,0.4475317315914822,0.6824038361985063,0.9874881713923054,0.7515285004238909,0.3963314082095056,0.7371686897210155,99.84504008293152,Wide & Deep,,
11,0.9478779875582628,0.6487508940012806,0.448202606992013,0.6823640452860681,0.9929978395333912,0.7576990208953239,0.3927979961959298,0.7389944331263638,97.6487169265747,Wide & Deep,,
12,0.9469276488725028,0.6484576381831554,0.4484873528103687,0.68220831147394,0.996539363828268,0.7595774390345263,0.3933903780216186,0.7395775024575852,100.396005153656,Wide & Deep,,
13,0.9464296873954736,0.6484816212055154,0.4490820378655913,0.6823256099065063,0.9926259923849616,0.7528766394600794,0.3963337859425087,0.7375799864473593,99.33187675476074,Wide & Deep,,
14,0.944943808428492,0.6483823743894078,0.4494736610997515,0.6823442133356848,0.996014172119261,0.7527918612962747,0.3955611589016886,0.7373454544665656,94.8914897441864,Wide & Deep,,
15,0.9446990926432178,0.6486415080212485,0.4501897899427796,0.6825955277602024,0.9959859998012506,0.7531309739514936,0.396142339365286,0.7375917269521717,93.79876327514648,Wide & Deep,,
1,1.0627433395526171,0.6494278781771655,0.4062029133022451,0.674434396500072,1.0485082263945107,0.742563625180777,0.3849811642633703,0.7290509821196357,184.54228329658508,TabTransformer,0.4197965572960431,0.3866329907029313
2,1.0422923778734263,0.6609149659519076,0.4268957087431828,0.6858031633716937,1.040312648141733,0.7047891350964975,0.4014662829577729,0.7142607706689343,202.3769233226776,TabTransformer,0.4445916085669819,0.4080160096579587
3,1.0338423640595802,0.6591780491780648,0.4335204963921967,0.6864536699603497,1.049120735626326,0.6965407184533803,0.4000608402997292,0.7100154914085921,193.3184950351715,TabTransformer,0.4569002660600772,0.4086679760286797
4,1.027806875649203,0.6584858562562931,0.4380199770158561,0.6871207818607977,1.0758358981267433,0.7124374553252323,0.394083532324265,0.7158947510475311,196.6091141700745,TabTransformer,0.4656627691285918,0.3967327702395812
5,1.0232604759370592,0.6569199403817161,0.440933337212272,0.6869337792290764,1.0584652086508857,0.6717854946224047,0.3955301082245063,0.6948534214938076,198.3815999031067,TabTransformer,0.4729940945940862,0.4092770028260691
6,1.0193900233603492,0.6570388805739079,0.443796947081417,0.6876195561267346,1.077683194678366,0.6803081935601842,0.3910074687928258,0.6983960812561811,194.0086052417755,TabTransformer,0.4786058190587979,0.4017049903785907
7,1.016058705498935,0.6571057600590255,0.4456825855101019,0.6881281615864487,1.0730410776550965,0.6967751051415463,0.4001102546539341,0.7096835968019999,204.10960054397583,TabTransformer,0.4832919886669897,0.4089654886897777
