model,variant,accuracy,balanced_accuracy,macro_f1,weighted_f1,best_val_macro_f1,training_time_seconds
TabTransformer,calibrated,0.7057036665734092,0.4425243877048919,0.4346130412002171,0.7155039689009707,0.43139953125074765,10531.417439460754
MLP with Embeddings,raw,0.716234962230719,,0.4192354228963017,0.7179429732255903,0.42020369785374356,3593.8418111801147
Wide & Deep,raw,0.6538955723419027,,0.4149294576408713,0.68167669297424,0.41560289860449595,3269.170743227005
