ROUTE,num_flights,avg_delay_minutes,delayed_percentage
GJT_DEN,4859,21.62,21.44
FWA_MSP,1083,21.62,16.81
BQK_ATL,1518,21.61,19.5
PHX_MEM,1392,21.61,26.8
LAX_EGE,587,21.6,24.36
ATL_DFW,19069,21.59,26.15
STT_MCO,1320,21.59,27.2
LGA_DFW,18767,21.58,23.93
CYS_DEN,1746,21.58,16.04
ELP_IAH,537,21.58,18.06
MIA_LGA,16720,21.57,27.33
LNK_DEN,2452,21.57,21.86
PGD_CVG,1003,21.56,24.83
ILM_ORD,589,21.56,28.01
TYS_SFB,1796,21.55,24.55
PHL_RDU,6689,21.54,25.18
IND_PIE,708,21.54,25.28
SBN_DTW,1035,21.54,18.94
MLI_CLT,1248,21.53,19.87
ATL_MCO,25753,21.53,27.76
DFW_CVG,5314,21.53,28.89
BTV_ORD,2965,21.52,23.91
AVL_PIE,1406,21.52,26.03
LGA_MIA,16801,21.52,24.72
MCO_ATL,25818,21.51,25.44
PIE_IND,709,21.5,24.96
DEN_RIC,2122,21.5,30.68
TUL_DFW,8647,21.5,21.45
MSY_MIA,5071,21.49,23.88
TPA_EWR,8532,21.49,22.98
SBN_DFW,2726,21.48,23.37
ORD_LGA,31490,21.47,24.71
EWR_LAX,16333,21.44,25.0
PHL_FLL,7765,21.44,25.14
AGS_DFW,1157,21.43,23.16
BOS_AUS,4729,21.42,26.62
SAV_MSP,592,21.42,25.17
FLL_IND,3063,21.42,28.7
IAH_BTR,874,21.4,21.4
MCO_LGA,15345,21.4,26.37
IDA_DFW,1580,21.39,18.92
SNA_EWR,3168,21.39,17.9
TPA_CVG,2607,21.38,24.09
PHX_PVU,596,21.38,20.64
ORD_ATW,5383,21.38,25.95
PHL_CLT,10905,21.38,22.26
DSM_SFB,510,21.36,26.67
DCA_BGR,2847,21.35,25.5
MYR_EWR,3114,21.35,21.61
ELP_DFW,8103,21.34,21.86
AUS_JFK,6913,21.34,22.09
JAX_JFK,4990,21.34,22.93
MCI_JFK,1471,21.34,22.03
CLT_SDF,5524,21.33,25.76
DFW_BHM,6304,21.33,24.41
FLL_CVG,2475,21.32,25.33
TPA_DCA,6279,21.32,22.6
STT_CLT,1634,21.31,18.73
DEN_SLN,1067,21.3,22.68
BDL_DCA,5543,21.27,23.0
STL_ORD,7586,21.27,23.24
DCA_FLL,7022,21.27,25.19
MCO_PDX,1390,21.27,30.07
GNV_DFW,1336,21.26,23.5
MSN_CLT,2813,21.26,20.69
MIA_CLE,2204,21.26,30.13
PHL_DFW,10046,21.26,23.7
DEN_DIK,1917,21.25,20.19
CLT_JAX,6570,21.25,26.21
DCA_CLT,9268,21.25,21.1
MCO_RDU,8036,21.25,24.51
SFB_SBN,547,21.24,26.51
SLC_DFW,11157,21.24,22.47
ATL_SBN,2955,21.24,21.56
PHL_SAV,2748,21.24,22.23
BUF_DFW,1514,21.24,23.71
MFE_AUS,1710,21.24,19.77
BFF_DEN,1806,21.23,17.17
EWR_MCI,1586,21.23,26.99
DIK_DEN,1933,21.23,18.73
MIA_BNA,7027,21.23,26.21
MEI_IAH,1733,21.23,17.54
LGA_ORD,31538,21.23,22.71
ORD_DCA,18783,21.22,24.56
MYR_PHL,1373,21.22,20.47
MIA_MSP,3430,21.22,24.43
EWR_MCO,19833,21.21,24.64
EWR_HNL,526,21.21,23.19
CLT_LFT,1064,21.21,27.26
MIA_SLC,1738,21.2,24.8
DEN_BOS,10940,21.2,28.83
SAF_DFW,4607,21.19,21.42
SAV_DEN,1165,21.19,27.04
SYR_DFW,1016,21.19,17.91
DFW_STL,6547,21.19,26.87
AGS_CLT,2293,21.19,24.29
ONT_DFW,6923,21.17,20.02
JFK_DEN,4476,21.17,26.09
ISP_MCO,4150,21.17,24.31
ATW_AZA,650,21.16,20.15
DFW_CMH,5119,21.16,26.63
CLT_JFK,9028,21.15,25.09
SDF_LAX,562,21.14,29.36
MCO_PHX,5115,21.13,25.45
LAX_DFW,19889,21.11,21.84
DFW_CHS,3513,21.11,28.44
FLL_AUS,2993,21.1,32.11
IND_CLT,5501,21.1,22.09
FLL_SAT,948,21.09,30.38
MCI_BOS,2065,21.09,20.53
DSM_BNA,610,21.09,19.02
CLE_PHX,2416,21.09,24.3
PIT_DFW,4525,21.07,21.3
IAH_MCO,10992,21.06,24.09
TTN_PBI,535,21.06,24.49
DFW_ICT,7473,21.06,23.97
DFW_CLE,5104,21.05,27.84
PBI_HPN,5170,21.02,23.02
DFW_DAY,3803,21.0,21.4
FLL_CLT,9703,21.0,22.81
PHL_LAS,4870,21.0,25.38
SLC_JFK,5921,21.0,23.7
ATW_MSP,2664,20.99,19.82
CLT_IND,5499,20.99,26.51
EWR_DFW,10429,20.99,22.99
CVG_MCO,5127,20.99,21.83
ACT_DFW,3144,20.99,22.01
ORD_ICT,4903,20.98,28.45
SJU_MIA,8221,20.98,22.24
ORD_BOS,20115,20.97,25.69
BOS_RSW,6188,20.96,27.62
ORD_FAR,5284,20.96,25.49
DFW_LEX,3226,20.96,23.84
DEN_ATW,1291,20.96,28.2
DFW_SRQ,1139,20.96,28.53
CRW_ATL,2474,20.95,18.96
MDT_DFW,1080,20.95,16.57
DFW_BPT,2077,20.95,16.61
CHS_MIA,2458,20.95,20.1
CVG_PIE,1072,20.94,24.63
JFK_MIA,16071,20.93,25.14
SJU_FLL,6967,20.92,24.39
MIA_AUS,5567,20.91,26.68
MIA_DTW,4896,20.91,26.59
MIA_SAT,1486,20.9,31.22
MCO_MEM,2383,20.88,28.12
MCO_ORD,15951,20.88,25.0
ANC_ORD,2297,20.88,24.73
HPN_CLT,4030,20.86,19.35
HPN_ORD,3849,20.86,21.69
EWR_MIA,12594,20.86,25.94
EYW_LGA,886,20.85,24.6
LBE_MCO,953,20.85,24.13
CLT_BUF,3466,20.84,27.35
MEM_EWR,1479,20.82,19.81
RSW_EWR,6075,20.82,20.31
CLE_DFW,5081,20.82,22.67
MYR_ORD,917,20.81,24.1
IAH_STL,1845,20.81,27.8
EWR_BOS,12034,20.8,25.45
BIL_ORD,621,20.8,21.74
MIA_PHX,4973,20.8,25.12
MCO_DTW,11682,20.8,25.59
BPT_DFW,2096,20.79,16.79
GRR_PGD,942,20.78,20.49
MSY_PHX,2267,20.78,24.0
MAF_DEN,3701,20.78,21.21
RDM_SFO,3402,20.78,22.93
AZA_DSM,528,20.78,28.79
MSP_EWR,6625,20.77,23.17
SJU_STT,1487,20.77,25.62
MYR_BOS,1770,20.77,23.95
MDW_MIA,2422,20.75,24.65
SJU_RDU,1515,20.75,25.87
FLL_MEM,515,20.73,21.94
PHL_TPA,7583,20.73,24.77
FLL_LAS,2798,20.72,30.59
PBI_LGA,8438,20.71,24.39
PIT_PHX,2006,20.71,19.84
LNK_ORD,3050,20.71,19.74
JAC_LAX,1488,20.71,21.84
ROC_DCA,3154,20.71,20.16
ATW_PGD,551,20.71,22.14
ALB_FLL,1257,20.7,23.87
MCO_MIA,11283,20.7,21.57
IDA_DEN,3753,20.68,20.28
JFK_IAH,1019,20.68,27.38
BTV_DTW,867,20.68,20.53
SYR_CLT,3332,20.67,22.3
TPA_BOS,8197,20.67,24.06
AVL_PGD,678,20.67,24.04
CLT_RIC,7627,20.66,25.29
CHS_IAH,873,20.66,23.02
MCO_SYR,2406,20.66,23.94
DCA_DFW,9626,20.66,20.75
PHL_MIA,9233,20.65,23.33
IAH_DSM,1206,20.64,30.93
SMF_DFW,5045,20.63,20.52
MEM_CLT,5636,20.62,19.18
RDD_SFO,2751,20.62,16.07
JFK_BOS,17076,20.61,24.41
IAH_EWR,10847,20.61,24.62
SBP_SFO,3290,20.6,24.5
BNA_CLT,11498,20.6,24.01
SNA_ATL,3089,20.59,16.38
PIE_SGF,527,20.59,22.58
CID_ORD,6105,20.58,22.23
CLT_VPS,3348,20.57,25.75
DFW_ORD,18707,20.57,25.1
DCA_ICT,621,20.56,26.73
ORD_CID,6109,20.55,25.45
LGA_MSY,4423,20.54,26.11
SFO_ACV,3194,20.54,21.01
DEN_SFO,16291,20.54,29.99
JAN_DFW,5463,20.54,21.56
GRR_SFB,1129,20.52,24.09
FLL_BUF,1559,20.52,26.36
DEN_PHL,8638,20.51,26.09
CLE_MCO,6108,20.51,23.82
SBA_ATL,556,20.51,17.09
RDU_MCO,8001,20.5,22.5
BZN_SFO,1249,20.5,20.66
CVG_VPS,1194,20.49,22.95
STL_CLT,5818,20.49,19.28
OKC_DFW,9080,20.48,22.32
JFK_TPA,6877,20.47,25.36
TPA_MIA,7662,20.47,19.72
PHL_AUS,2927,20.47,23.88
MIA_JAX,5349,20.46,25.29
SRQ_DEN,544,20.44,28.31
DRO_DEN,5270,20.44,20.99
CVG_DFW,5306,20.44,23.11
CHS_PHL,4003,20.43,20.76
ORD_ATL,17749,20.43,23.63
ATL_CRW,2468,20.43,19.49
SFO_EWR,12341,20.41,24.95
HPN_PBI,5201,20.41,23.69
JAX_PHL,4545,20.41,20.55
JFK_ATL,11467,20.41,23.76
JAN_DCA,916,20.4,11.35
ORD_SAN,8735,20.38,23.98
IAH_MCI,1503,20.37,26.41
FWA_ATL,2919,20.36,18.6
PDX_HNL,2316,20.36,26.73
BOS_DFW,11228,20.36,23.68
SAN_MCO,2028,20.35,26.28
JFK_ROC,4330,20.35,25.64
ORD_RIC,3103,20.35,25.94
DAY_ORD,3706,20.34,22.02
GRR_LAS,999,20.34,21.62
IAH_OKC,2857,20.34,22.86
CHA_DFW,4071,20.33,21.44
PHL_TYS,1297,20.33,24.29
PDX_DFW,6929,20.32,21.85
ORD_PIA,4117,20.32,25.04
CLT_IAH,6996,20.32,25.31
ROC_CLT,3125,20.31,19.65
ORF_DCA,3635,20.31,24.02
MCO_CLT,15673,20.31,23.13
DCA_DAY,3384,20.3,22.87
MHT_CLT,2893,20.29,18.18
SJU_TPA,4599,20.29,23.66
AUS_MIA,5558,20.29,22.89
DFW_BWI,4484,20.27,29.08
FLL_MCO,3906,20.27,26.57
DCA_MCO,13776,20.27,22.03
CLT_ALB,3358,20.27,24.93
STL_IAH,1833,20.26,21.44
SEA_CLT,3735,20.25,16.04
PDX_BOS,1852,20.25,24.19
CLT_MEM,5634,20.25,25.99
PDX_CLT,1145,20.25,15.37
PHL_GSP,1451,20.25,23.16
DEN_SBP,2137,20.24,26.11
RDU_BOS,8812,20.23,20.7
IAH_CMH,1859,20.23,24.96
PHL_MCI,2041,20.23,23.52
BHM_DCA,2914,20.23,18.5
IAH_LGA,11684,20.22,23.72
DFW_PSP,2923,20.22,27.33
LAS_HNL,5038,20.22,26.06
MCO_PSE,2006,20.21,27.57
AVL_DEN,943,20.2,23.44
DFW_RIC,2960,20.2,27.43
FLL_LGA,13249,20.19,26.15
BGR_CLT,620,20.19,24.03
PSP_SFO,7296,20.18,27.92
PIE_HTS,525,20.17,23.43
SJU_MCO,18720,20.17,23.45
MKE_BOS,2514,20.17,23.83
ORD_DLH,2839,20.17,25.47
LAS_SFO,17236,20.16,30.9
AUS_FLL,2984,20.16,28.72
MCO_IAH,10996,20.16,22.85
ORD_MBS,2774,20.15,26.06
CVG_LAS,2191,20.15,22.0
PWM_MCO,553,20.15,23.51
FAT_PHX,4331,20.15,18.38
CHS_EWR,4358,20.14,17.69
CLT_DEN,8681,20.13,26.75
DCA_TYS,3131,20.13,23.67
HYS_DEN,1473,20.13,15.89
PHX_MSN,1267,20.12,20.21
SGU_DEN,2376,20.11,19.49
LFT_CLT,1066,20.11,15.1
DCA_GSP,2913,20.09,23.62
CLT_ORF,7469,20.09,24.59
MCO_SAN,2024,20.08,29.5
HDN_DEN,4417,20.06,24.47
ORD_SJC,844,20.05,27.61
CLT_SJU,2946,20.05,24.17
DCA_DEN,4236,20.05,20.51
DEN_ORD,18810,20.04,24.72
MFE_LAS,1120,20.04,19.29
IAH_CVG,1874,20.04,27.05
CLT_PWM,1997,20.03,25.09
DCA_BHM,2918,20.03,23.0
CMH_CLT,5798,20.03,20.63
ORD_MSP,16895,20.02,24.87
CLT_FLL,9687,20.01,26.81
FLL_CHS,1783,20.0,25.07
CAE_DCA,3044,20.0,22.83
DFW_LAX,19982,20.0,26.77
BHM_IAH,848,20.0,21.58
CLT_ROC,3132,19.99,24.17
MCO_MYR,1274,19.98,25.67
DAY_DCA,3363,19.98,19.98
SRQ_CLT,4823,19.96,18.08
DEN_SYR,1295,19.96,29.65
OKC_CLT,2298,19.95,19.06
ECP_AUS,813,19.95,28.78
FAT_DFW,4178,19.95,20.03
CLT_XNA,4570,19.95,25.14
SJU_JFK,10791,19.94,21.07
MIA_CLT,10604,19.93,24.05
APN_DTW,1589,19.93,15.92
DEN_AMA,2026,19.93,25.81
DFW_OKC,9077,19.93,25.61
LEX_DFW,3220,19.92,20.5
DFW_ATL,19122,19.92,24.58
LGA_RSW,3097,19.91,23.44
PVD_FLL,1489,19.91,25.92
BHM_DTW,1210,19.9,18.35
CRW_CLT,3404,19.9,22.94
BZN_ATL,1087,19.89,18.03
COU_DFW,3234,19.89,22.02
MCI_CLT,3990,19.89,21.45
ORD_LNK,3050,19.89,24.52
ATW_ATL,1088,19.88,13.42
AVP_CLT,3051,19.88,16.45
MCO_SJU,18798,19.87,27.13
ORD_CHO,1720,19.86,27.97
EWR_SEA,5999,19.86,25.14
SRQ_IND,960,19.85,24.48
ORD_COU,2203,19.85,26.65
LAS_MIA,4830,19.84,21.93
JFK_MVY,922,19.83,22.02
DCA_MIA,10894,19.83,22.32
DEN_SGF,2608,19.83,24.16
SAN_BOS,4669,19.83,24.44
CID_DEN,3059,19.82,20.04
CLT_CVG,5920,19.82,25.84
DFW_LGA,18743,19.81,24.86
IAH_COS,1039,19.81,24.83
PIA_DFW,2298,19.81,22.32
PHL_CLE,3194,19.8,23.73
COU_ORD,2202,19.8,22.89
ELM_DTW,2257,19.8,16.48
ISP_PBI,2995,19.8,24.71
CHS_FLL,1787,19.79,21.82
DEN_BDL,2453,19.77,29.31
FLL_SEA,2632,19.77,26.56
MSN_ORD,7202,19.77,22.55
SLC_EWR,3429,19.77,25.11
ORD_CLT,12933,19.76,22.26
PHX_JFK,7828,19.76,21.47
PHL_BDL,1736,19.75,22.06
DTW_JFK,5133,19.75,21.04
CRW_DCA,1000,19.75,11.0
SIT_SEA,868,19.75,24.88
JFK_IAD,1771,19.73,20.5
SFO_CLT,4699,19.73,18.26
SAV_DTW,913,19.72,19.39
BWI_MIA,7035,19.72,25.33
CID_PGD,509,19.72,17.88
CLT_SAT,4156,19.72,26.66
PIE_USA,623,19.71,26.65
IAH_MSP,5522,19.7,21.42
PHL_ORD,12920,19.7,20.8
LBB_DEN,2183,19.69,23.5
DCA_GRR,1985,19.69,24.84
SUN_DEN,1625,19.68,16.8
IAD_DFW,5209,19.68,21.56
DFW_SEA,14163,19.67,27.54
JFK_JAX,4987,19.67,23.52
CLT_TPA,10497,19.67,26.94
MCI_EWR,1577,19.67,17.95
AUS_MFE,1714,19.66,20.01
LIT_CLT,3430,19.66,20.55
ATL_ABY,2431,19.66,18.14
CLT_SHV,2355,19.65,23.01
IAD_PDX,867,19.65,21.22
IAH_PBI,894,19.65,25.39
CLT_GRR,2943,19.64,25.96
MSY_SFO,1497,19.64,22.51
ORF_CLT,7473,19.63,19.08
ABY_ATL,2438,19.62,15.83
IAH_LIT,1219,19.61,21.74
BNA_MIA,7028,19.61,24.19
ECP_ORD,587,19.61,21.98
CLT_ORD,12904,19.59,24.24
BWI_MCO,15522,19.59,25.09
DFW_SDF,5977,19.59,24.69
MSO_DFW,1265,19.59,20.87
TYS_CLT,5916,19.59,21.16
SAV_PHL,2742,19.58,18.49
ORD_AVP,1890,19.58,25.71
DSM_AZA,530,19.58,24.15
MIA_DAL,1364,19.58,26.54
DEN_MAF,3725,19.57,23.97
DFW_RNO,3610,19.57,26.26
BDL_DFW,1863,19.57,23.35
PIE_DSM,532,19.57,26.5
CMH_IAH,1857,19.57,24.61
MSY_LGA,4408,19.56,22.3
RAP_DEN,6312,19.56,21.36
HPN_MCO,3749,19.55,21.23
AVL_ORD,3048,19.53,23.95
ATL_ORD,17737,19.52,24.0
LBF_DEN,1812,19.52,17.72
PIE_FNT,760,19.52,27.76
OGG_DFW,1232,19.52,10.55
DEN_MOT,2368,19.52,21.24
CLL_DFW,3319,19.51,18.71
FLL_ISP,935,19.51,27.06
ATL_FLL,21938,19.5,26.79
LBB_DFW,7435,19.5,19.3
PVD_ORD,3681,19.5,21.05
FLL_SJU,6993,19.49,27.99
CLT_MIA,10555,19.49,24.95
IAD_DTW,3724,19.49,17.45
IAH_SMF,1574,19.48,25.73
ORD_MLI,4029,19.47,24.7
FLL_CMH,3068,19.46,28.42
BOS_LAX,13588,19.45,21.52
CVG_ORD,9099,19.45,22.17
DFW_TUL,8656,19.43,24.63
DCA_SJU,1082,19.42,22.18
LEX_ORD,4456,19.42,22.53
JFK_BUF,7045,19.41,24.78
PHL_BTV,2368,19.41,21.2
PHL_MYR,1388,19.4,21.47
MSY_DCA,5493,19.4,23.38
BDL_CLT,5191,19.4,19.78
PHL_RSW,4114,19.39,23.89
BHM_PHL,1492,19.39,17.9
CWA_ORD,981,19.38,22.83
ATW_DTW,2574,19.37,17.06
RDU_DCA,7354,19.37,25.06
GRB_ORD,5476,19.37,21.97
PHL_PWM,2413,19.37,22.25
BUF_ORD,5556,19.37,21.71
BNA_BOS,7913,19.36,23.99
SFO_MRY,1831,19.36,17.97
CLT_CAK,3960,19.36,23.84
CLT_AUS,5470,19.36,26.01
CVG_PHL,3272,19.35,20.78
DFW_PIT,4555,19.35,25.38
ACK_HPN,576,19.34,18.06
PVD_CLT,4462,19.33,18.87
TUS_SFO,2759,19.31,21.75
HNL_PDX,2320,19.3,27.8
SEA_DFW,14123,19.3,23.9
EWR_TPA,8541,19.3,24.04
CLT_DFW,11671,19.29,25.39
ORD_FLL,8571,19.29,23.56
BNA_ORD,14062,19.28,21.9
CLT_CMH,5813,19.27,24.32
DSM_PHX,2675,19.27,16.93
ORD_BTV,2968,19.27,23.25
DFW_BUR,2133,19.27,28.08
STL_LAX,3278,19.27,23.4
ORF_EWR,2612,19.25,19.56
ATL_BQK,1514,19.25,17.24
PLN_DTW,2102,19.25,15.89
PHL_PIT,4420,19.23,22.58
STL_SFO,1279,19.23,27.44
MCO_ACY,2679,19.22,25.08
MCO_RIC,2873,19.21,26.98
EWR_IAH,10873,19.21,23.1
TLH_DFW,3066,19.21,21.66
JFK_MCI,1477,19.21,21.8
DEN_LGA,14062,19.2,25.55
SAN_SFO,18987,19.2,30.12
MIA_ORD,12614,19.19,24.16
MCO_BDL,5924,19.18,25.86
SHV_CLT,2351,19.18,18.55
ATL_PHL,17035,19.16,24.42
TPA_JFK,6883,19.14,22.24
LFT_IAH,685,19.14,18.25
PHL_PNS,807,19.14,25.4
SAV_JFK,3838,19.13,21.03
SEA_SIT,863,19.12,33.72
DEN_RKS,1750,19.12,19.09
DFW_LAW,3055,19.12,19.31
MCO_PNS,1221,19.11,26.13
BDL_ORD,6083,19.1,22.28
RNO_SFO,4541,19.1,24.31
DFW_FLG,1250,19.1,24.24
DEN_SDF,3261,19.09,27.54
ATL_FSD,1075,19.09,23.81
ORD_OKC,6185,19.09,24.3
IND_SRQ,966,19.09,21.33
EWR_LAS,9052,19.08,23.66
CLT_RDU,10088,19.07,24.81
MSN_DCA,2543,19.07,19.82
CMH_ORD,10601,19.06,22.02
DFW_MSP,9349,19.06,22.76
EWR_SAN,4743,19.05,23.53
CLT_MLI,1252,19.05,24.36
BUR_SFO,9039,19.04,26.91
ORD_SLC,8708,19.04,22.63
MGM_ATL,3464,19.03,18.82
ORF_PHL,2461,19.03,19.18
DCA_GSO,2425,19.02,23.05
SYR_DCA,3125,19.02,18.98
DTW_ELM,2252,19.02,19.67
GCK_DFW,2115,19.01,19.57
ALB_MCO,3065,19.01,23.95
IAH_ORD,15368,19.01,22.07
JAX_MIA,5332,19.01,21.17
ORD_SFO,14935,19.0,25.37
CHS_MSP,673,19.0,19.91
DFW_LBB,7441,18.99,22.08
MCO_LAS,4231,18.99,27.01
JFK_AUS,6915,18.99,21.17
JFK_ACK,1066,18.98,20.73
DTW_DFW,10669,18.98,23.27
BQN_JFK,1808,18.98,21.29
DFW_DTW,10702,18.98,23.16
SCE_ORD,1969,18.98,20.21
BUR_DFW,2121,18.97,16.69
PHL_SAN,2813,18.97,24.17
FLL_MSY,4320,18.96,28.06
EWR_DTW,9766,18.96,19.91
BOS_EWR,12005,18.95,22.61
ORD_PBI,2838,18.95,23.5
GRR_ORD,8449,18.95,22.17
TYS_DCA,3111,18.95,20.35
CLT_BWI,8982,18.94,25.7
LAX_JFK,29858,18.94,19.17
MYR_PIT,967,18.93,19.86
PIE_AVL,1410,18.93,22.98
BOI_DFW,2364,18.92,19.08
PHL_JAX,4552,18.92,23.04
CLT_BOS,13872,18.91,25.11
FSD_AZA,983,18.91,20.04
ORD_MCO,15951,18.91,23.72
CHS_LGA,4564,18.91,18.69
CPR_DEN,4738,18.9,21.44
MKE_PHL,1191,18.89,19.14
DFW_COS,5638,18.87,24.35
CLT_SRQ,4829,18.87,23.38
AVL_CLT,5570,18.87,22.55
IND_SFB,644,18.87,22.98
MIA_HOU,1939,18.87,24.7
BOS_ORD,20086,18.86,21.84
IAD_JFK,1750,18.85,23.37
RSW_CVG,2217,18.84,20.57
CLE_EWR,5974,18.84,19.43
CLT_MSN,2811,18.83,25.36
DEN_HLN,2149,18.83,20.61
FLL_MYR,1310,18.83,25.42
LGA_IAH,11705,18.83,19.95
BWI_CLT,8978,18.83,22.92
MIA_MDW,2443,18.82,24.19
DCA_LGA,14269,18.82,22.83
PGD_LCK,513,18.81,23.2
CVG_PGD,995,18.81,20.1
AUS_MAF,2302,18.81,20.81
IAH_PIB,1673,18.8,19.67
BNA_JFK,6004,18.8,21.55
PSP_ORD,1757,18.79,16.62
FWA_DTW,742,18.79,19.0
BOS_PHL,14534,18.79,20.25
JAX_CLT,6569,18.78,20.61
DFW_ILM,1726,18.78,23.64
PIA_DEN,570,18.78,23.68
DCA_TPA,6292,18.78,22.33
PWM_DTW,1711,18.78,17.83
SAN_MSY,789,18.77,29.4
TUS_DFW,6516,18.77,18.8
IAH_ATL,13593,18.77,23.28
BNA_PHL,8162,18.77,22.25
MCO_SFO,3794,18.76,24.67
CLT_OMA,2519,18.76,23.78
EWR_PBI,9927,18.75,24.54
MSO_ORD,821,18.74,25.33
PHX_SFO,13759,18.74,26.51
CLT_AVL,5554,18.73,21.97
ORD_EGE,871,18.73,25.83
IAH_FLL,7589,18.73,23.55
PHL_MEM,1802,18.72,20.31
SAT_CLT,4162,18.72,15.59
PBI_CLT,5632,18.72,19.11
BIL_AZA,539,18.72,22.63
CHS_CLT,7919,18.72,18.15
PHL_CHS,4003,18.72,22.06
CLT_DAY,3939,18.72,23.41
DFW_BZN,1969,18.71,24.78
HNL_DFW,1816,18.71,12.83
IAH_ORF,817,18.71,26.32
CLT_PNS,5823,18.7,24.56
ORD_COS,2102,18.7,28.07
ATL_FWA,2924,18.7,19.8
RDM_DEN,2156,18.7,19.53
EWR_MEM,1468,18.7,24.32
MSP_IMT,1054,18.7,16.6
SBN_CLT,3239,18.7,18.8
TYR_DFW,3138,18.69,21.7
IAH_MEM,1940,18.69,25.05
DTW_GRB,2562,18.69,20.49
XNA_DEN,3564,18.69,21.41
DFW_DCA,9639,18.69,24.58
MSN_DEN,3170,18.69,19.53
PHL_BGR,1479,18.68,23.12
SFO_LAS,17244,18.68,26.11
EWR_DEN,9343,18.67,23.39
DEN_ICT,5501,18.66,25.94
MCO_CLE,6114,18.66,23.83
MSP_RIC,632,18.66,23.1
IND_PGD,691,18.65,23.59
HPN_ATL,4402,18.65,17.04
PHL_SLC,1889,18.65,21.92
CLT_PVD,4456,18.64,23.41
MKE_DCA,3439,18.64,19.4
DCA_PBI,5027,18.63,22.96
MCO_LAX,9204,18.63,21.26
ROC_JFK,4335,18.62,19.12
BZN_LAS,2082,18.62,24.83
STT_ATL,1796,18.62,19.88
LGA_TUL,1110,18.62,24.23
MCO_MSP,6014,18.62,20.29
CHS_DCA,5156,18.61,20.4
ORD_OMA,6911,18.61,25.45
MIA_DCA,10887,18.61,24.94
FLL_SFO,3833,18.61,23.77
ROC_MCO,1834,18.6,23.45
STL_EWR,2620,18.6,20.08
FLL_IAH,7597,18.6,23.76
CRP_IAH,954,18.6,18.97
CLE_CLT,5563,18.6,19.27
CVG_TPA,2602,18.6,22.48
CLT_GSP,7782,18.57,22.32
MCO_BUF,5030,18.56,24.87
DFW_MGM,2608,18.56,22.01
PGD_ABE,653,18.55,24.2
MDT_DTW,1305,18.55,15.25
ORD_SPI,601,18.55,22.8
ORD_DEC,1835,18.53,22.13
IAH_PHX,7873,18.53,20.69
MTJ_ORD,528,18.53,16.1
BOS_RDU,8808,18.53,22.49
DAL_MIA,1364,18.52,24.78
FSD_ATL,1074,18.52,18.16
IAH_JAX,2054,18.51,24.98
TPA_CLT,10490,18.5,20.44
MIA_ILM,553,18.5,25.5
EWR_AUS,5803,18.49,23.78
SGF_CLT,3587,18.49,20.77
ORD_MSN,7214,18.48,24.12
RDU_CLT,10092,18.48,20.61
CLT_SYR,3333,18.48,25.35
DFW_AGS,1164,18.48,21.39
DTW_EWR,9762,18.48,20.67
PHL_BOS,14543,18.47,22.38
CLT_FWA,558,18.46,24.91
RIC_CLT,7621,18.46,19.73
DCA_ALB,3568,18.46,23.6
DEN_CPR,4742,18.45,22.48
SAN_CLT,4694,18.45,18.02
LAS_MCO,4223,18.44,25.98
EWR_PDX,2481,18.44,22.73
MCO_MCI,4784,18.44,27.63
ORD_GRB,5479,18.43,23.93
DCA_BOS,27861,18.43,21.65
SPI_ORD,595,18.43,19.83
EWR_BNA,5960,18.42,23.37
PNS_ORD,1287,18.42,17.56
OAJ_CLT,1673,18.41,19.31
MCO_AUS,8289,18.41,25.19
HOU_DFW,6310,18.4,21.17
FLL_LAX,6064,18.4,24.44
PHL_DEN,8611,18.39,21.73
CLT_AVP,3041,18.38,23.45
LAS_SAN,20542,18.38,30.09
ICT_ORD,4885,18.37,18.89
PIB_IAH,1464,18.37,15.1
CVG_MIA,3240,18.36,21.98
IAD_JAX,2195,18.36,22.28
FLL_DAL,2288,18.35,26.22
CLT_BDL,5185,18.34,24.2
BOS_PHX,6083,18.34,21.32
MSP_ORD,16880,18.33,22.44
MBS_DTW,3260,18.33,16.32
RDU_MIA,6986,18.33,20.83
CID_PHX,1724,18.33,17.34
SMF_EWR,903,18.33,21.37
CAK_CLT,3960,18.32,18.11
DEN_BIS,3897,18.32,21.2
PSE_MCO,1999,18.31,23.86
LAX_SBP,1711,18.31,13.21
PHL_IAH,5373,18.3,21.12
DFW_BTR,5515,18.29,21.29
ATL_IAH,13585,18.29,24.67
BRW_ANC,1044,18.28,31.03
SLC_ORD,8678,18.27,19.26
SDF_DCA,3094,18.26,17.36
DEN_MCO,13621,18.26,24.57
MCI_FLL,1573,18.26,25.43
SNA_DFW,8752,18.25,17.62
SWO_DFW,2122,18.24,15.83
LAS_EWR,8985,18.24,21.98
IAH_AUS,7028,18.24,24.56
ORD_LEX,4454,18.24,22.95
MEM_LAX,1226,18.23,23.0
AUS_LBB,968,18.23,28.51
MSY_CLT,5495,18.23,18.73
GRB_ATL,1086,18.23,14.64
PWM_JFK,2540,18.22,18.86
SBP_PHX,3442,18.22,16.85
DCA_ORF,3631,18.21,23.91
MIA_SJU,8233,18.2,22.82
TTN_TPA,975,18.19,22.36
BUF_PHL,893,18.19,18.59
ATL_TPA,19232,18.19,25.23
LGA_HOU,3528,18.18,24.55
DEN_COS,14294,18.18,24.09
MCO_MSY,7106,18.17,25.98
HPN_FLL,2754,18.16,21.75
BGM_LGA,631,18.15,17.59
