ROUTE,num_flights,avg_delay_minutes,delayed_percentage
MKE_DFW,3292,27.66,27.19
PBI_DFW,3236,27.62,29.2
LAX_ASE,2993,27.56,28.4
RSW_DFW,3755,27.55,26.76
AZA_PVU,1959,27.54,29.5
FLL_RDU,4031,27.52,31.95
MIA_PDX,848,27.52,35.85
DFW_MCO,14398,27.51,33.78
DEN_PIA,570,27.44,37.37
DEN_LNK,2458,27.42,26.61
MSY_BOS,2692,27.41,28.83
SFB_IND,646,27.39,31.27
JAC_ATL,622,27.38,27.49
DFW_FSD,2672,27.27,30.24
ATL_TTN,589,27.27,32.09
HSV_ORD,2531,27.26,28.92
PSP_JFK,593,27.24,35.58
JAX_PHX,722,27.23,19.81
DFW_PNS,4917,27.22,31.1
DFW_HNL,1822,27.18,25.08
MIA_OKC,579,27.15,34.72
SBA_DFW,1448,27.15,25.14
RSW_DCA,2544,27.13,24.88
SUX_ORD,1071,27.11,22.69
DEN_CYS,1740,27.1,19.37
DFW_ANC,1093,27.06,30.92
PWM_CLT,2002,27.02,20.03
MCO_HPN,3773,26.99,29.58
BTV_DCA,3749,26.98,24.35
STT_SJU,1794,26.92,30.43
COD_DEN,1554,26.92,26.45
RDU_PHL,6682,26.91,26.07
VPS_DCA,1184,26.88,23.06
MIA_SAN,1475,26.88,33.22
BUF_LAX,562,26.86,31.32
PHL_SJU,4348,26.86,35.35
OTH_SFO,919,26.8,23.5
USA_PIE,622,26.77,31.67
CMH_SFO,926,26.75,34.02
PVU_AZA,1967,26.73,18.86
DFW_SFO,11845,26.67,33.33
ACV_DEN,970,26.64,20.31
HHH_EWR,597,26.63,25.46
PBI_ORD,2837,26.63,26.97
AUS_BOS,4717,26.62,26.52
PGD_AVL,676,26.62,29.44
VPS_CVG,1195,26.62,24.85
DCA_CRW,961,26.6,27.99
RDU_SJU,1512,26.58,30.29
MIA_SDF,1410,26.56,29.15
DEN_ASE,7425,26.52,27.45
FLL_JAX,1214,26.48,32.29
MIA_ORF,1425,26.47,23.72
EWR_SJU,6544,26.46,30.75
GRI_DFW,2113,26.44,20.78
FLL_RIC,2446,26.41,33.28
MSY_DFW,8551,26.39,26.58
DFW_SAV,2936,26.38,31.37
STL_DFW,6525,26.37,24.38
DFW_ECP,3086,26.37,31.3
JLN_DEN,857,26.33,22.52
FWA_PIE,531,26.32,31.83
ORD_HSV,2525,26.31,31.21
IAH_DFW,15277,26.28,26.37
ORD_SLN,549,26.28,25.32
GRR_MCO,1241,26.27,25.87
BNA_DFW,9548,26.26,26.35
AMA_IAH,790,26.26,19.24
FLL_JFK,11385,26.25,28.37
DFW_SAT,12360,26.18,31.13
IAD_EWR,4638,26.18,26.91
VEL_DEN,644,26.16,16.77
IAH_VCT,1818,26.16,16.67
FWA_ORD,4582,26.15,26.95
DFW_SBA,1453,26.13,32.28
DFW_FAT,4212,26.13,32.79
IAH_ONT,865,26.08,35.84
BUR_ATL,544,26.07,23.16
DFW_RSW,3761,25.99,33.48
ORD_MHK,695,25.94,27.63
RSW_PHL,4122,25.93,24.38
IAD_JST,1060,25.92,17.83
BWI_DFW,4481,25.91,24.68
PBI_TTN,539,25.89,32.65
MCI_DFW,7118,25.89,25.27
MDW_SFO,941,25.88,37.19
SFB_AVL,1484,25.88,30.32
DFW_SMF,5082,25.87,31.82
FLL_PHL,7771,25.87,25.9
EWR_SMF,901,25.87,32.3
TTN_ATL,593,25.84,28.67
MCO_PHL,16869,25.83,28.34
GEG_DFW,1785,25.83,22.63
PGD_ATW,548,25.81,25.73
IAH_RIC,575,25.81,34.96
DFW_PVU,1135,25.76,31.45
MCO_JFK,14188,25.75,27.58
ORD_FNT,3062,25.72,28.45
DFW_SBP,1426,25.72,28.89
MCO_DFW,14411,25.7,28.92
LAR_DEN,1805,25.69,20.83
IAG_PGD,552,25.68,27.72
SDF_CLT,5517,25.68,22.53
IAH_LFT,683,25.67,21.67
DFW_BOS,11290,25.66,29.39
DTW_SBN,1038,25.66,29.96
DFW_OGG,1234,25.65,22.77
CVG_SFB,1026,25.65,24.46
MIA_MCI,1399,25.62,34.24
MYR_DCA,1621,25.61,26.84
SRQ_ORD,2233,25.58,26.38
SBN_PGD,569,25.56,27.94
CLT_EWR,11252,25.55,29.42
ORD_PHL,12938,25.53,26.06
DFW_PBI,3235,25.52,34.4
PBI_EWR,9883,25.51,25.5
STT_MIA,2563,25.5,18.69
FSD_LAS,535,25.48,25.23
DCA_JAN,895,25.45,29.16
CAE_DFW,2229,25.44,25.08
SAV_BOS,2253,25.44,28.58
ORH_LGA,573,25.43,18.5
IAH_PNS,1445,25.43,30.1
IAH_MEI,1516,25.4,21.11
BLV_PGD,545,25.38,30.46
PBI_DCA,5006,25.37,25.87
ASE_DEN,7515,25.35,27.88
PIE_CVG,1075,25.34,29.12
ORD_CAK,3333,25.33,28.35
BTR_IAH,875,25.31,22.4
ALB_DCA,3560,25.27,25.9
ORD_RNO,889,25.27,38.02
JAX_AUS,789,25.27,27.5
PHX_JAX,720,25.24,24.44
DEN_HYS,1035,25.24,20.1
BUF_CLT,3465,25.2,22.68
BOS_FLL,9330,25.18,30.65
KOA_PHX,1148,25.17,5.92
DCA_AUS,1087,25.15,39.1
DFW_MRY,1430,25.14,29.44
MIA_RIC,1242,25.14,31.4
PNS_DEN,1211,25.14,29.48
IMT_DTW,905,25.13,19.12
MIA_JFK,16102,25.07,27.88
PNS_PHL,803,25.05,26.53
SJU_EWR,6511,25.03,27.81
ACV_SFO,3236,25.02,24.85
PRC_DEN,1149,25.02,20.02
DFW_SAN,10226,25.02,32.41
ORD_SBN,5950,25.01,27.01
COS_DFW,5633,25.0,23.34
DSM_CLT,2232,25.0,21.82
DTW_CIU,1058,25.0,19.57
FLL_DFW,8352,24.99,28.2
SLN_DEN,630,24.99,17.14
DEN_BUF,1311,24.97,39.21
PVU_DFW,1133,24.95,22.07
DCA_XNA,1046,24.93,25.72
AVL_SFB,1486,24.92,25.77
SFB_DSM,509,24.88,26.92
SRQ_JFK,1161,24.88,26.18
FLL_BOS,9345,24.86,30.58
ORD_ABE,1051,24.82,25.21
JFK_BQN,1807,24.82,35.14
DCA_CHA,857,24.82,29.05
AMA_DEN,2034,24.82,27.14
BOS_PBI,5894,24.8,31.54
CLT_SMF,1200,24.79,32.83
BOS_SJU,5715,24.77,30.95
SGF_ORD,4683,24.73,23.7
DFW_TYS,4113,24.72,30.25
LAX_BUF,560,24.71,31.79
MYR_DFW,1291,24.71,24.17
OMA_DFW,4305,24.7,24.11
SYR_MCO,2388,24.69,27.6
DFW_VPS,3987,24.67,28.59
JLN_DEC,504,24.66,17.86
ILM_BOS,827,24.65,29.75
SRQ_BOS,1405,24.62,24.2
GSO_DFW,2528,24.62,23.73
BLV_VPS,1042,24.62,21.02
MCO_EWR,19869,24.6,26.62
MIA_BDL,1442,24.6,28.09
ORD_MKE,8505,24.58,28.08
BOS_SYR,912,24.56,30.7
MSN_PHX,1267,24.55,21.07
ECP_DCA,865,24.54,23.82
DFW_LAS,17174,24.52,31.13
MGM_DFW,2609,24.52,22.27
CLT_PDX,1147,24.52,31.12
MIA_IND,2420,24.52,30.99
PBI_BOS,5902,24.52,27.63
ACK_BOS,602,24.52,27.91
JFK_MCO,14171,24.51,29.48
AVP_ORD,1881,24.5,25.41
BGR_PIE,596,24.5,20.3
DFW_EWR,10438,24.49,26.97
GCC_DEN,2055,24.47,16.35
PIE_TYS,1330,24.44,28.95
VCT_IAH,1814,24.43,15.38
TPA_DFW,8365,24.42,25.24
TYS_FLL,1165,24.42,30.9
PHL_MCO,16812,24.42,27.28
MIA_SEA,2630,24.41,31.1
RIC_DFW,2951,24.4,26.13
ORD_MQT,1318,24.4,25.72
MVY_LGA,985,24.39,21.73
MEM_DFW,7165,24.39,26.94
DFW_GSO,2534,24.38,31.93
ORD_EWR,17180,24.36,28.07
SJU_JAX,654,24.35,24.01
MIA_ATL,19463,24.34,28.25
TVC_ORD,5131,24.33,25.82
XWA_MSP,2226,24.33,20.17
DFW_TPA,8392,24.32,30.99
MCI_PHL,2026,24.31,22.01
PIT_LAX,869,24.3,27.27
MSY_PHL,2979,24.3,21.65
BGR_SFB,693,24.29,26.12
MIA_DFW,13548,24.27,28.82
FLL_EWR,15139,24.27,27.44
LEX_PIE,544,24.27,31.43
TPA_HPN,1065,24.26,29.58
LCH_DFW,3129,24.26,19.85
ORF_MIA,1424,24.26,16.15
DFW_MCI,7123,24.25,29.82
IAH_GRR,673,24.25,31.8
CHA_DCA,864,24.24,23.38
EAR_DEN,718,24.23,16.57
XWA_DEN,3678,24.22,22.68
MSY_JFK,3451,24.19,23.56
HPN_DTW,2348,24.17,20.32
CLT_SFO,4706,24.16,33.43
SAV_DFW,2927,24.15,24.39
MIA_TPA,7685,24.14,28.07
JFK_SJU,10805,24.14,29.38
ROA_LGA,1529,24.1,20.14
PNS_MCO,1219,24.05,26.74
TYS_DFW,4092,24.04,23.73
DFW_ORF,2924,24.04,28.35
MIA_EWR,12576,24.03,27.64
JAX_BOS,3949,24.01,25.8
TYS_PIE,1326,24.01,24.28
PHL_ORF,2446,24.0,25.22
ORD_TVC,5148,23.99,28.11
JFK_PBI,6370,23.99,29.45
SJU_DFW,2601,23.99,24.76
DFW_DEN,17666,23.98,29.27
MBS_ORD,2765,23.97,24.3
SNA_CLT,920,23.97,10.43
EWR_BQN,1074,23.95,32.59
RDU_EWR,7059,23.94,25.26
MIA_LAS,4865,23.93,30.07
DFW_BNA,9574,23.92,30.39
ALB_DFW,717,23.9,19.67
ORD_DAY,3712,23.9,23.87
MIA_BOS,11078,23.89,28.76
ATL_ASE,1016,23.88,28.64
DFW_MSY,8540,23.88,31.52
PHL_PBI,4567,23.88,28.57
ATW_ORD,5379,23.87,26.01
BOS_MCO,14248,23.87,29.65
JST_IAD,1070,23.87,17.01
PGD_FNT,869,23.83,30.96
JAC_SFO,988,23.8,29.05
SRQ_DCA,1114,23.8,26.21
ALB_BNA,539,23.8,19.85
MIA_SFO,4471,23.79,29.68
SDF_DFW,5966,23.79,23.43
CHS_DFW,3504,23.79,22.23
BGR_DCA,2840,23.78,21.44
EUG_LAS,1461,23.77,24.64
