epoch,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,epoch_time_seconds
1,0.9984321025618386,0.6384088990984899,0.38693548248165227,0.6661060605597338,0.98656202437817,0.6527407509107989,0.38485154261482446,0.6753842712747825,309.69724798202515
2,0.9874680053862691,0.6460127866879336,0.39398563273180454,0.6724708487501012,0.9826486497238313,0.6547182635450872,0.4089793842183707,0.6805678784050199,326.0189220905304
3,0.9839738219345483,0.6469819293439701,0.3995987719234501,0.6741415503654614,0.9806748743205516,0.6495547763228239,0.4035238991994859,0.6763094710205251,325.56859731674194
4,0.9814479031778695,0.6477048832591448,0.4029175345187123,0.6752344567139241,0.9784815226482292,0.6561388215812135,0.41079067032675504,0.6819822121865486,313.93710446357727
5,0.9795227826704251,0.648441645392874,0.4053462288462237,0.676200467381764,0.977660469419578,0.6637010993053286,0.40290171295207283,0.6856542395417949,320.48538279533386
6,0.9780596983616247,0.6481437625674737,0.40706364160088754,0.676340036002378,0.9764951646114141,0.6497752914863985,0.40801536260175036,0.6775013905129458,328.8862543106079
7,0.9768194395668214,0.6483834982212725,0.4086793510269629,0.6767849233671613,0.97585557636246,0.6561103262296797,0.40153288200278414,0.6805753384271643,333.83005475997925
8,0.9757167720100339,0.6485714010144669,0.41036321539686127,0.6772257453280199,0.9754168633132535,0.6567861193961706,0.4144495574409269,0.6831727076974122,342.9261658191681
9,0.9746820241198826,0.6485832663680993,0.4113552609863628,0.6774389540622759,0.9752242189665742,0.6506110471944545,0.4124349379848932,0.6787879021679406,331.257607460022
10,0.9738943880328272,0.6486268420527839,0.4125079857290342,0.6776444121094263,0.9748095526801878,0.6541930424065878,0.41560289860449595,0.681874166612541,336.48040890693665
