epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,epoch_time_seconds
1,0.9392177230190789,0.7588445976593889,0.37953298529105656,0.38254172413279514,0.7266630715534486,0.930499496874154,0.7664278130173889,0.3789271618703334,0.37629568372683714,0.7308770364364356,899.2672548294067
2,0.9277752399084133,0.7558771490427886,0.3912039807753203,0.39634209072620114,0.7303522081131856,0.9242740698838144,0.7527128060376469,0.399453030529717,0.4066816395365393,0.7315888685535329,868.1485276222229
3,0.9238840475693495,0.7546140786792294,0.39600567422626526,0.4025816277103609,0.7313743247318254,0.9254847374546302,0.7441353814151375,0.4077746692942213,0.4145037685049891,0.729876924801007,863.7755324840546
4,0.9211980725939125,0.7538324918762226,0.39961019192447794,0.4071951297611072,0.7321158276775486,0.9207509875287008,0.7392756287353601,0.41410311481020073,0.42084780753949613,0.7288572976644727,868.0209681987762
5,0.9190414817851792,0.7530781745701602,0.4026210373008841,0.4109884797620757,0.732592230802682,0.9206003807714287,0.7311525106833282,0.42169185405790194,0.42671834513084045,0.72627717786511,866.8392207622528
6,0.91716227918625,0.7527903530095359,0.4048396913029521,0.41369964467295944,0.7330738164263886,0.921002302633905,0.7457537878579364,0.4143251358392707,0.4231078025482287,0.7318981147387975,866.3355867862701
7,0.9154424790072763,0.7520959869639314,0.4075996248900234,0.41687581871458973,0.7334823032856348,0.9185533001957963,0.7404986621756265,0.4179410069065368,0.42540336369205406,0.7302276726668683,870.0008463859558
8,0.9137990909019672,0.7520791256719277,0.40904824887127855,0.41856587120660826,0.7338681536594741,0.9180291883086331,0.7360718445526764,0.4217221604947306,0.42795860742805863,0.7288291394540989,886.1082966327667
9,0.9124102545891281,0.7518468839256862,0.4107455366788318,0.4205170043627376,0.7341641195865544,0.9182901110753272,0.7337323114295826,0.4261501394240241,0.43137596509497694,0.7281625807614447,886.7154862880707
10,0.9111652482887093,0.7514551190917218,0.41265552576931475,0.4226318109628011,0.7344156022977123,0.9178392948646847,0.7379353757808294,0.4235342249155922,0.42991057715807507,0.7297704629207026,881.5682554244995
11,0.910283646544649,0.7514318741006877,0.4132946494314904,0.4233533880323186,0.7345515696244234,0.9177608508665909,0.7345133431102612,0.42618066975868757,0.43139953125074765,0.7284550497666193,881.4496521949768
12,0.9099447221717375,0.751464902804366,0.41399287545507946,0.4241783545499825,0.734702882055559,0.917952344195953,0.7353733846292836,0.42557470178493934,0.4310896497264682,0.7288005659789447,892.8478252887726
